"number";"test_content";"test_type";"group_color";"con_use";"block_name";"test_api";"test_id";"test_time";"ec_min";"ec_max";"vc_min";"vc_max";"ng_max";"ng_min";"va_min";"va_max";"test_info";"vafix"
1;"";"검사 시작";"";"";"검사 시작";"A9900";"1";"";"";"";"";"";"";"";"";"";"";""
2;"";"설정값";"";"";"제품정보";"A9901";"1";"";"";"";"";"";"";"";"";"";"";"1.0"
3;"";"설정값";"";"";"EEPROM";"A9901";"2";"";"";"";"";"";"";"";"";"";"";"A5"
4;"";"설정값";"";"";"C/S (체크섬)";"A9901";"3";"";"";"";"";"";"";"";"";"";"";"0.0"
5;"";"설정값";"";"";"소프트웨어 버전 (MAIN)";"A9901";"4";"";"";"";"";"";"";"";"";"";"";"0.0"
6;"";"설정값";"";"";"소프트웨어 버전 (FRONT)";"A9901";"5";"";"";"";"";"";"";"";"";"";"";"0.0"
7;"";"설정값";"";"";"고도모드";"A9901";"6";"";"";"";"";"";"";"";"";"";"";"0.0"
8;"";"설정값";"";"";"모델정보 확인";"A9901";"7";"";"";"";"";"";"";"";"";"";"00 : 내수 / 01 : MY / 02 : USA";"0.0"
9;"";"설정값";"";"";"냉온수 모델";"A9901";"8";"";"";"";"";"";"";"";"";"";"00 : CP / 01 : CHP";"0.0"
10;"";"설정값";"";"";"reserved";"A9901";"9";"";"";"";"";"";"";"";"";"";"";""
11;"";"설정값";"";"";"reserved";"A9901";"A";"";"";"";"";"";"";"";"";"";"";""
12;"";"설정값";"";"";"reserved";"A9901";"B";"";"";"";"";"";"";"";"";"";"";""
13;"";"설정값";"";"";"reserved";"A9901";"C";"";"";"";"1.1";"";"";"";"";"";"";""
14;"";"설정값";"";"";"reserved";"A9901";"D";"";"";"";"";"";"";"";"";"";"";""
15;"";"기타센서";"";"";"WIFI 동작";"A9902";"1";"";"";"";"";"";"";"";"";"";"";"01"
16;"";"기타센서";"";"";"EW(UV) 모듈 피드백";"A9902";"2";"";"";"";"";"";"";"";"50.0";"500.0";"";""
17;"";"기타센서";"";"";"유량 센서 피드백";"A9902";"3";"";"";"";"";"";"";"";"10.0";"300.0";"";""
18;"";"기타센서";"";"";"AC 전류 피드백 1";"A9902";"4";"";"";"";"";"";"";"";"0.1";"0.5";"AC 전류 [A}";""
19;"";"기타센서";"";"";"DC 전류 피드백 2";"A9902";"5";"";"";"";"";"";"";"";"150.0";"300.0";"DC 24 V 전류 [mA}";""
20;"";"기타센서";"";"";"순간온수히터 피드백1";"A9902";"6";"";"";"";"";"";"";"";"100.0";"250.0";"HEATER";""
21;"";"기타센서";"";"";"순간온수히터 피드백2";"A9902";"7";"";"";"";"";"";"";"";"50.0";"150.0";"TRIAC";""
22;"";"기타센서";"";"";"순간온수히터 전류 피드백 (W)";"A9902";"8";"";"";"";"";"";"";"";"1000.0";"3000.0";"";""
23;"";"기타센서";"";"";"적외선 센서 피드백";"A9902";"9";"";"";"";"";"";"";"";"10.0";"100.0";"";""
24;"";"기타센서";"";"";"교반모터 피드백";"A9902";"A";"";"";"";"";"";"";"";"50.0";"100.0";"";""
25;"";"기타센서";"";"";"압력 센서 피드백";"A9902";"B";"";"";"";"";"";"";"";"30.0";"100.0";"";""
26;"";"기타센서";"";"";"원수 TDS 센서 피드백";"A9902";"C";"";"";"";"";"";"";"";"10.0";"100.0";"";""
27;"";"기타센서";"";"";"정수 TDS 센서 피드백";"A9902";"D";"";"";"";"";"";"";"";"10.0";"100.0";"";""
28;"";"기타센서";"";"";"조도센서 피드백";"A9902";"E";"";"";"";"";"";"";"";"30.0";"250.0";"";""
29;"";"기타센서";"";"";"만빙 수발신 피드백";"A9902";"F";"";"";"";"";"";"";"";"10.0";"200.0";"";""
30;"";"기타센서";"";"";"살균모듈 피드백";"A9902";"10";"";"";"";"";"";"";"";"30.0";"100.0";"";""
31;"";"기타센서";"";"";"냉수순환펌프 피드백";"A9902";"11";"";"";"";"";"";"";"";"10.0";"250.0";"";""
32;"";"기타센서";"";"";"부스터펌프 피드백";"A9902";"12";"";"";"";"";"";"";"";"10.0";"250.0";"";""
33;"";"기타센서";"";"";"FAN 피드백";"A9902";"13";"";"";"";"";"";"";"";"3.0";"250.0";"";""
34;"";"기타센서";"";"";"드레인 탱크 펌프 피드백";"A9902";"14";"";"";"";"";"";"";"";"5.0";"100.0";"";""
35;"";"기타센서";"";"";"탄산펌프 피드백";"A9902";"15";"";"";"";"";"";"";"";"10.0";"100.0";"";""
36;"";"기타센서";"";"";"살균펌프 피드백";"A9902";"16";"";"";"";"";"";"";"";"10.0";"100.0";"";""
37;"";"기타센서";"";"";"마이크로 스위치 1";"A9902";"17";"";"";"";"";"";"";"";"";"";"00 → 01 변환 확인 필요, 아이스트레이 UP";"01"
38;"";"기타센서";"";"";"마이크로 스위치 2";"A9902";"18";"";"";"";"";"";"";"";"";"";"00 → 01 변환 확인 필요, 아이스트레이 DOWN";"01"
39;"";"기타센서";"";"";"마이크로 스위치 3";"A9902";"19";"";"";"";"";"";"";"";"";"";"00 → 01 변환 확인 필요";"01"
40;"";"기타센서";"";"";"마이크로 스위치 4";"A9902";"1A";"";"";"";"";"";"";"";"";"";"00 → 01 변환 확인 필요, 필터1";"01"
41;"";"기타센서";"";"";"마이크로 스위치 5";"A9902";"1B";"";"";"";"";"";"";"";"";"";"00 → 01 변환 확인 필요, 필터2";"01"
42;"";"기타센서";"";"";"마이크로 스위치 6";"A9902";"1C";"";"";"";"";"";"";"";"";"";"00 → 01 변환 확인 필요";"01"
43;"";"기타센서";"";"";"리드스위치 1";"A9902";"1D";"";"";"";"";"";"";"";"";"";"00 → 01 변환 확인 필요";"01"
44;"";"기타센서";"";"";"리드스위치 2";"A9902";"1E";"";"";"";"";"";"";"";"";"";"00 → 01 변환 확인 필요";"01"
45;"";"기타센서";"";"";"리드스위치 3";"A9902";"1F";"";"";"";"";"";"";"";"";"";"00 → 01 변환 확인 필요";"01"
46;"";"기타센서";"";"";"리드스위치 4";"A9902";"20";"";"";"";"";"";"";"";"";"";"00 → 01 변환 확인 필요";"01"
47;"";"기타센서";"";"";"리드스위치 5";"A9902";"21";"";"";"";"";"";"";"";"";"";"";""
48;"";"기타센서";"";"";"리드스위치 6";"A9902";"22";"";"";"";"";"";"";"";"";"";"";""
49;"";"기타센서";"";"";"reserved";"A9902";"23";"";"";"";"";"";"";"";"";"";"";""
50;"";"기타센서";"";"";"reserved";"A9902";"24";"";"";"";"";"";"";"";"";"";"";""
51;"";"기타센서";"";"";"reserved";"A9902";"25";"";"";"";"";"";"";"";"";"";"";""
52;"";"기타센서";"";"";"reserved";"A9902";"26";"";"";"";"";"";"";"";"";"";"";""
53;"";"기타센서";"";"";"reserved";"A9902";"27";"";"";"";"";"";"";"";"";"";"";""
54;"";"기타센서";"";"";"reserved";"A9902";"28";"";"";"";"";"";"";"";"";"";"";""
55;"";"수위센서";"";"";"정수저수위센서";"A9903";"1";"";"";"";"";"";"";"";"";"";"";"01"
56;"";"수위센서";"";"";"정수중수위센서";"A9903";"2";"";"";"";"";"";"";"";"";"";"";"01"
57;"";"수위센서";"";"";"정수고수위센서";"A9903";"3";"";"";"";"";"";"";"";"";"";"";"01"
58;"";"수위센서";"";"";"정수물넘침센서";"A9903";"4";"";"";"";"";"";"";"";"";"";"";"01"
59;"";"수위센서";"";"";"냉수저수위센서";"A9903";"5";"";"";"";"";"";"";"";"";"";"";"01"
60;"";"수위센서";"";"";"냉수고수위센서";"A9903";"6";"";"";"";"";"";"";"";"";"";"";"01"
61;"";"수위센서";"";"";"온수고수위센서";"A9903";"7";"";"";"";"";"";"";"";"";"";"";"01"
62;"";"수위센서";"";"";"드레인 탱크 저수위센서";"A9903";"8";"";"";"";"";"";"";"";"";"";"";"01"
63;"";"수위센서";"";"";"드레인 탱크 고수위센서";"A9903";"9";"";"";"";"";"";"";"";"";"";"";"01"
64;"";"수위센서";"";"";"온수저수위센서";"A9903";"A";"";"";"";"";"";"";"";"";"";"";"01"
65;"";"수위센서";"";"";"누수감지센서";"A9903";"B";"";"";"";"";"";"";"";"";"";"";"01"
66;"";"수위센서";"";"";"reserved";"A9903";"C";"";"";"";"";"";"";"";"";"";"";"01"
67;"";"수위센서";"";"";"reserved";"A9903";"D";"";"";"";"";"";"";"";"";"";"";"01"
68;"";"수위센서";"";"";"reserved";"A9903";"E";"";"";"";"";"";"";"";"";"";"";"01"
69;"";"수위센서";"";"";"reserved";"A9903";"F";"";"";"";"";"";"";"";"";"";"";"01"
70;"";"수위센서";"";"";"reserved";"A9903";"10";"";"";"";"";"";"";"";"";"";"";"01"
71;"";"온도센서";"";"";"냉수온도센서 1";"A9904";"1";"";"";"";"";"";"";"";"0000";"99.99";"";""
72;"";"온도센서";"";"";"온수온도센서 1";"A9904";"2";"";"";"";"";"";"";"";"0000";"99.99";"";""
73;"";"온도센서";"";"";"온수입수센서 1";"A9904";"3";"";"";"";"";"";"";"";"0000";"99.99";"";""
74;"";"온도센서";"";"";"온수출수센서 1";"A9904";"4";"";"";"";"";"";"";"";"0000";"99.99";"";""
75;"";"온도센서";"";"";"외기온도센서 1";"A9904";"5";"";"";"";"";"";"";"";"0000";"99.99";"";""
76;"";"온도센서";"";"";"방열판온도센서 1";"A9904";"6";"";"";"";"";"";"";"";"0000";"99.99";"";""
77;"";"온도센서";"";"";"EVA 온도센서 1";"A9904";"7";"";"";"";"";"";"";"";"0000";"99.99";"";""
78;"";"온도센서";"";"";"냉수온도센서 2";"A9904";"8";"";"";"";"";"";"";"";"0000";"99.99";"";""
79;"";"온도센서";"";"";"EVA 온도센서 2";"A9904";"9";"";"";"";"";"";"";"";"0000";"99.99";"";""
80;"";"온도센서";"";"";"온수히터온도센서 1";"A9904";"A";"";"";"";"";"";"";"";"0000";"99.99";"";""
81;"";"온도센서";"";"";"냉각기온도센서1";"A9904";"B";"";"";"";"";"";"";"";"0000";"99.99";"";""
82;"";"온도센서";"";"";"TDS 원수 온도센서";"A9904";"C";"";"";"";"";"";"";"";"0000";"99.99";"";""
83;"";"온도센서";"";"";"TDS 정수 온도센서";"A9904";"D";"";"";"";"";"";"";"";"0000";"99.99";"";""
84;"";"온도센서";"";"";"reserved";"A9904";"E";"";"";"";"";"";"";"";"0000";"99.99";"";""
85;"";"온도센서";"";"";"reserved";"A9904";"F";"";"";"";"";"";"";"";"0000";"99.99";"";""
86;"";"온도센서";"";"";"reserved";"A9904";"10";"";"";"";"";"";"";"";"0000";"99.99";"";""
